FID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,Type_,Juris,Latitude,Longitude
33,19. Hub/Marston Library,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking/19. Hub,1,-1,0, ,"<img src=""""https://doc-08-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/mj03sh1vbmdfki7m88lmpjg3h8/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoEgwHzzPNhzKXqwcth7BiorjnF2uMXllVlCwjJkLlQBLH2E9yJ_p_DQJYV1OVmN-",-1,0,UF Parking Area,University of Florida,29.64856218,-82.34444358
34,20. Reitz Union South,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/784a878vl7noat82r48pv0tbg0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqrC4SgK_e-aGTGrdw8m58Z15ZGNJIGI6AGTbOMWZ0lccsucMm2aAgW-Oh6Y4z9aG",-1,0,UF Parking Area,University of Florida,29.64615846,-82.34737232
35,21. Reitz Union East,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-14-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/568qq9v0jegcvlipl7u4fttg1k/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqlF2Pq2jXdM5RJ6kLeCsIRmZV22EE4PuK7VSVNwjt5-QUhZ8-JyQOYzlyB5ad-R-",-1,0,UF Parking Area,University of Florida,29.64668063,-82.34687879
36,22. Reitz Union West,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-04-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/si99gvdngaj3j6og0fl9c8je7o/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpzxTN73BSVWTKPoYxyZbQNJd9o4rhLNTrDnXwJYgIzlW5t8tT11tPkYYWyVmH9DV",-1,0,UF Parking Area,University of Florida,29.6467832,-82.3485954
37,23. Bryant Hall,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-10-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/ltq7ljepaqsaihd124kaibt360/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqUl0a2D94fq1_NxLsf7pgBlvbBJo16_XdmM5vsuybPsgxTOuX_0CFZr6w1y_CH0l",-1,0,UF Parking Area,University of Florida,29.65159159,-82.34025956
38,24. Psychology,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0k-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/ibaqffbdqdh2b6l3nnd29ssrh0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALrDlbJbSJ2Fm5DpE4jxDdLm7VQZ1dDVdjUdCtyJNeYamKQYhxPYPryGR0VXI8Teu6",-1,0,UF Parking Area,University of Florida,29.64380326,-82.34635709
39,25. McCarty Hall A,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/7bjj19pusmelic3u954rttn22k/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoI08z3YIr-ODv17TqIR9gzRgU3qjEOSVVgtf1BIN4sJXa-qkbByHRwDAzFtDF5vu",-1,0,UF Parking Area,University of Florida,29.64721718,-82.34560471
40,26. Vet Med,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-14-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/9drc76qgntvnfu68jgeoaa5aq0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqZhDkuHzBGxrlVT02mOCfW9K6H_KZXmLKT8WvCHJoms4SdGx9MW6TA8ZwZUvusiX",-1,0,UF Parking Area,University of Florida,29.63424574,-82.3507089
41,Mobility Hub,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,Exact LAT/LON might be off; hard to tell with tree canopy,-1,0,City Staging/Parking Area,City of Gainesville,29.65151656,-82.32264146
42,Butler Plaza Transfer Station_2,Micromobility.kmz/Micromobility/Primary,0,-1,0, ,"- Adjacent to landscaped median, to not impede walkway acess
- See aerial markup",-1,0,City Staging/Parking Area,City of Gainesville,29.62532185,-82.38787907
